MSE,RMSE,MAE,R2,period
2.8211422644181217e-05,0.005311442614222733,0.0013615315803515448,0.932596217074978,train
2.410500960254107e-05,0.0049096852854883756,0.0013555498061089885,0.9408650068591888,train
1.962511050331612e-05,0.00443002375877558,0.0011212222559948627,0.9498246820129729,train
2.7868743821179066e-05,0.005279085509932479,0.0014157143067901614,0.9313245653627891,train
3.4964001387197336e-05,0.005913036562308518,0.0017057466632568394,0.9237169074939884,train
1.2082378956286145e-05,0.0034759716564273283,0.0011775527359388501,0.9661811391585854,validation
5.3628568618031596e-05,0.007323152915106415,0.0019120646195285329,0.8851435200990545,validation
3.806664484078503e-05,0.0061698172453310985,0.0016917109992587805,0.9025888488068317,validation
5.181672548970057e-05,0.007198383533106621,0.0017189662877432853,0.8992850201114889,validation
1.671834550130179e-05,0.0040888073446057336,0.0014796119265759755,0.951782619606951,validation
5.28411763456906e-05,0.007269193651684525,0.0018532409866226745,0.8868298806906718,test
3.271917643997746e-05,0.005720067870224746,0.0017474239299230187,0.9162728247671625,test
5.600633723544679e-05,0.007483738185923315,0.0016611880432293555,0.8911417679332444,test
7.801760729201453e-06,0.002793163212059305,0.0011623010230917194,0.9774989418189637,test
2.183578187777958e-05,0.004672877259010724,0.0015815435100379543,0.938881136623851,test
