MSE,RMSE,MAE,R2,period
1.2457738514773525e-06,0.001116142397491177,0.0007060742323833305,0.9970235506618108,train
1.7187241470331346e-06,0.0013110012002409206,0.0007210386835831852,0.9957835843120744,train
1.5870938564835232e-06,0.001259799133387352,0.0007412231401764916,0.9959422934759596,train
1.3159880564552665e-06,0.0011471652263101712,0.0007067174795480584,0.9967570819720348,train
1.2758837123991763e-06,0.001129550225708966,0.0007102598891076502,0.9972163267532789,train
3.116856693959764e-06,0.0017654621757374933,0.0008940283686598373,0.9912758453300444,validation
4.781642224383548e-06,0.002186696646630151,0.0010407759356643109,0.9897591412899698,validation
8.688787527378962e-06,0.0029476749358399346,0.0010515075255040976,0.9777657106620544,validation
5.794684009032782e-06,0.002407214990197756,0.0011434311083587565,0.9887370057078189,validation
3.5106203161787954e-06,0.0018736649423466286,0.0009557480598168319,0.9898750199182342,validation
3.219678293188426e-06,0.0017943462021550987,0.000866265207170285,0.9931044045235851,test
6.1589761685475845e-06,0.00248172846390325,0.001069461446126533,0.9842394053571353,test
7.924022866039068e-06,0.0028149640967584416,0.001136620798961137,0.984598258650137,test
5.643000949642846e-06,0.0023755001472622237,0.0010514109165118645,0.9837250209163293,test
4.176503101527123e-06,0.002043649456616061,0.0010548885326690453,0.9883098702908341,test
